red_bias,win_rate_red,error_red
1,0.49722,0.0022360334147771585
2,0.49626,0.0022360054221758946
3,0.5014,0.002236059212096138
4,0.50008,0.0022360679488781193
5,0.50308,0.0022360255526268033
6,0.49768,0.0022360439065456654
7,0.49868,0.0022360601852365247
8,0.50216,0.0022360471122049286
9,0.49784,0.002236047112204928
10,0.49806,0.0022360511461055627
11,0.50412,0.0022359920643866336
12,0.50406,0.002235994259384402
13,0.50254,0.002236039124881316
14,0.50454,0.0022359757977223277
15,0.50536,0.002235939491131189
16,0.50586,0.0022359144008660082
17,0.50642,0.0022358836445575607
18,0.5072,0.0022358361299522826
19,0.50434,0.0022359837405491125
20,0.50422,0.002235988334495509
21,0.5053,0.002235942351671885
22,0.50648,0.002235880182836281
23,0.50474,0.0022359674970804026
24,0.50466,0.0022359708602752407
25,0.50454,0.0022359757977223277
26,0.50248,0.0022360404719056408
27,0.5045,0.0022359774149127713
28,0.50472,0.002235968343246389
29,0.50378,0.00223600407691936
30,0.50322,0.0022360216081245728
31,0.50626,0.0022358927183565853
32,0.50536,0.002235939491131189
33,0.50792,0.0022357874389127425
34,0.50656,0.0022358755171073366
35,0.5054,0.002235937566212438
36,0.50854,0.002235741793678331
37,0.5046,0.002235973345100518
38,0.501,0.0022360635053593624
39,0.5064,0.0022358847913074593
40,0.5071,0.002235842525760703
41,0.50556,0.0022359297234036675
42,0.504,0.0022359964221796065
43,0.5057,0.0022359226730815176
44,0.5083,0.0022357598708269187
45,0.50342,0.0022360156689969772
46,0.51268,0.00223534882110153
47,0.50468,0.0022359700248438035
48,0.50898,0.002235707313581096
49,0.5076,0.0022358096520052866
50,0.50632,0.002235889342521226
51,0.51134,0.0022354928065194037
52,0.50392,0.0022359992558138296
53,0.50744,0.002235820414970755
54,0.50574,0.002235920626498177
55,0.50806,0.002235777432572393
56,0.5088,0.002235721628468088
57,0.50846,0.0022357478766623037
58,0.51048,0.002235576747061035
59,0.50714,0.002235839978173751
60,0.5103,0.0022355934782513566
61,0.5067,0.0022358672143041056
62,0.50856,0.0022357402639841687
63,0.50286,0.0022360313969173153
64,0.50868,0.0022357310106540097
65,0.50704,0.0022358463203002127
66,0.50946,0.0022356677230751442
67,0.5087,0.002235729455904717
68,0.50426,0.0022359868174924467
69,0.50952,0.002235662629289133
70,0.50892,0.002235712117424781
71,0.50586,0.0022359144008660082
72,0.50936,0.0022356761411259905
73,0.51024,0.0022355989908747053
74,0.5045,0.0022359774149127713
75,0.50652,0.0022358778571290516
76,0.50614,0.0022358993734065942
77,0.5111,0.002235516897721867
78,0.50714,0.002235839978173751
79,0.50848,0.0022357463612851973
80,0.50972,0.002235645417323597
81,0.5051,0.0022359516542179527
82,0.5071,0.002235842525760703
83,0.5108,0.0022355462867048852
84,0.51168,0.0022354577947257246
85,0.50574,0.002235920626498177
86,0.50676,0.0022358636022798885
87,0.51246,0.0022353735634117176
88,0.5045,0.0022359774149127713
89,0.50568,0.0022359236910055764
90,0.50864,0.0022357341094146237
91,0.5114,0.0022354867031588446
92,0.50724,0.0022358335465772045
93,0.5057,0.0022359226730815176
94,0.50566,0.0022359247053512334
95,0.50916,0.0022356927087594128
96,0.5063,0.002235890471378238
97,0.50834,0.0022357568937610367
98,0.50648,0.002235880182836281
99,0.51152,0.002235474399763952
